ms 1 um,ms 2.5 um,ms 4 um,ms 10 um,voc,methane
1.6,2.1,2.5,2.7,21,10.8
1.8,2.3,2.7,2.9,35,10.8
1.8,2.3,2.7,2.8,47,11
1.8,2.3,2.7,2.8,57,10.9
1.7,2.2,2.6,2.7,66,10.9
1.7,2.1,2.4,2.6,74,11.2
1.6,2.1,2.4,2.6,80,11.4
1.5,2,2.3,2.4,85,11.5
1.4,1.8,2.1,2.2,90,11.6
1.4,1.8,2,2.2,94,11.8
1.4,1.7,2,2.1,96,11.8
1.3,1.7,1.9,2,99,11.8
1.3,1.6,1.9,2,101,11.9
1.2,1.6,1.8,1.9,103,11.8
1.2,1.6,1.8,1.9,104,11.9
1.3,1.6,1.9,2,106,12
1.4,1.7,2,2.1,107,12.1
1.4,1.8,2.1,2.2,108,12.3
1.4,1.8,2,2.1,109,12.4
1.3,1.7,1.9,2,109,12.5
1.3,1.6,1.8,1.9,110,12.5
1.3,1.7,1.9,2,110,12.6
1.3,1.7,1.9,2,111,12.7
1.4,1.8,2,2.1,111,12.7
1.4,1.8,2.1,2.2,112,12.9
1.5,1.9,2.1,2.3,112,12.9
1.5,1.9,2.1,2.3,111,13.2
1.5,1.8,2,2.2,111,13.5
1.4,1.8,2,2.1,111,13.4
1.4,1.7,2,2.1,111,13.4
1.4,1.7,1.9,2,110,13.9
1.4,1.7,1.9,2,111,13.8
1.4,1.7,2,2.1,111,14
1.4,1.7,1.9,2.1,111,14
1.3,1.7,1.9,2,112,14.2
1.4,1.7,1.9,2,112,14.3
1.3,1.6,1.8,1.9,112,14.4
1.3,1.6,1.8,1.9,113,14.5
1.4,1.7,1.9,2,112,14.7
1.4,1.7,1.9,2,112,14.8
1.4,1.8,2,2.1,112,15
1.5,1.8,2,2.1,112,15.1
1.5,1.9,2.1,2.2,112,15.2
1.5,1.8,2,2.1,112,15.1
1.4,1.7,1.9,2,112,15
1.4,1.7,1.9,2,112,15.2
1.5,1.8,2,2.1,111,15.2
1.5,1.9,2.1,2.2,111,15.3
1.6,1.9,2.1,2.2,110,15.5
1.5,1.8,2,2.1,109,15.3
1.5,1.8,2,2.1,108,15.1
1.5,1.7,1.9,2,108,15.2
1.5,1.7,1.9,2,107,15.3
1.6,1.9,2.1,2.2,107,15.4
1.7,2,2.2,2.3,107,15.5
1.8,2.1,2.3,2.4,106,15.5
2,2.3,2.6,2.7,106,15.6
2,2.4,2.7,2.8,105,15.8
2,2.4,2.6,2.7,105,15.6
1.9,2.3,2.5,2.6,104,15.7
1.8,2.2,2.4,2.5,104,15.6
1.8,2.1,2.4,2.5,104,15.4
1.7,2,2.2,2.3,103,15.7
1.7,2,2.2,2.3,103,15.8
1.8,2.1,2.3,2.4,103,15.6
1.8,2.1,2.3,2.4,102,15.7
1.7,2,2.2,2.3,102,14.5
1.6,1.9,2,2.1,102,13
1.4,1.7,1.9,1.9,102,13.7
1.5,1.7,1.9,2,100,13.8
1.5,1.8,2,2,98,14.1
1.5,1.8,1.9,2,96,14.1
1.5,1.7,1.9,2,95,14.5
1.4,1.7,1.9,1.9,94,14.4
1.5,1.7,1.9,1.9,94,14.3
1.5,1.8,2,2,94,15
1.5,1.8,1.9,2,95,15.6
1.4,1.7,1.8,1.9,96,15.8
1.4,1.7,1.8,1.9,98,15.2
1.4,1.6,1.8,1.8,99,15.1
1.4,1.7,1.8,1.9,99,14.9
1.5,1.8,1.9,2,100,15
1.7,2,2.2,2.3,100,14.9
1.9,2.2,2.4,2.5,99,14.7
1.9,2.2,2.4,2.5,100,14.9
1.7,2,2.2,2.3,100,15.2
1.6,1.9,2.1,2.2,99,15.1
1.6,1.8,2,2.1,99,15
1.5,1.8,2,2,99,14.8
1.5,1.8,1.9,2,99,14.7
1.6,1.9,2,2.1,98,13.2
1.7,2,2.2,2.2,96,11.1
1.6,1.9,2.1,2.2,91,11.6
1.5,1.8,2,2.1,88,12.6
1.4,1.7,1.9,1.9,85,12.5
1.3,1.6,1.7,1.8,83,11.7
1.3,1.6,1.7,1.8,81,10.8
1.3,1.6,1.7,1.8,79,10.7
1.4,1.7,1.9,1.9,77,10.3
1.5,1.8,2,2.1,75,10.4
1.6,2,2.2,2.3,75,10.6
1.7,2,2.2,2.4,74,10.2
1.7,2,2.2,2.3,73,9.7
1.7,2,2.2,2.3,73,9.8
1.6,1.9,2.1,2.2,73,9.6
1.5,1.8,2,2.1,73,9.4
1.6,1.9,2.1,2.2,73,9.4
1.6,1.9,2.1,2.3,74,9.2
1.5,1.8,2,2.1,74,9
1.5,1.8,2,2.1,75,9.3
1.6,1.9,2.1,2.2,76,9.2
1.6,1.9,2.1,2.2,77,9.3
1.5,1.8,2,2.1,79,9.3
1.4,1.7,1.8,1.9,80,9
1.3,1.6,1.7,1.8,82,9
1.4,1.6,1.8,1.9,83,8.8
1.4,1.7,1.9,2,84,9
1.4,1.7,1.8,1.9,86,8.9
1.4,1.7,1.9,2,88,8.8
1.5,1.7,1.9,2,89,8.9
1.4,1.6,1.8,1.9,90,8.8
1.3,1.5,1.7,1.8,91,8.6
1.3,1.5,1.7,1.8,92,8.6
1.4,1.7,1.9,1.9,92,8.6
1.4,1.7,1.8,1.9,92,8.5
1.3,1.6,1.8,1.9,93,8.5
1.3,1.5,1.7,1.8,93,8.5
1.3,1.5,1.7,1.8,94,8.5
1.2,1.5,1.6,1.7,94,8.6
1.2,1.5,1.7,1.7,95,8.5
1.3,1.6,1.7,1.8,95,8.6
1.4,1.7,1.9,2,95,8.6
1.4,1.7,1.9,2,96,8.5
1.5,1.7,1.9,2,96,8.5
1.5,1.8,2,2.1,97,8.6
1.6,1.9,2.1,2.2,97,8.5
1.7,2,2.2,2.3,98,8.6
1.8,2.2,2.4,2.5,98,8.6
1.8,2.2,2.4,2.6,98,8.6
1.8,2.2,2.4,2.5,99,8.5
1.8,2.2,2.4,2.5,99,8.5
1.8,2.1,2.3,2.5,100,8.6
1.7,2.1,2.3,2.4,99,8.6
1.7,2,2.2,2.3,100,8.5
1.6,1.9,2.1,2.2,100,8.5
1.5,1.8,2,2.1,100,8.5
1.5,1.8,2,2.1,99,8.5
1.6,1.9,2.1,2.2,99,8.6
2.9,3,3,3,23,10.6
2.7,2.8,2.8,2.8,38,10.4
2.6,2.8,2.8,2.8,48,10.3
2.8,2.9,2.9,2.9,57,10.4
2.8,3,3,3,63,10.4
2.8,2.9,2.9,2.9,69,10.3
2.8,2.9,2.9,2.9,74,11
2.8,2.9,2.9,2.9,81,10.5
2.9,3.1,3.1,3.1,85,10.3
3,3.1,3.1,3.1,88,10.2
2.9,3.1,3.1,3.1,90,10.4
2.9,3,3,3,91,10.4
2.9,3.1,3.1,3.1,92,10.4
3,3.2,3.3,3.3,93,10.2
2.9,3.1,3.1,3.1,94,10.4
2.9,3.1,3.1,3.1,95,10.4
2.9,3.1,3.1,3.1,96,10.3
2.9,3.1,3.1,3.1,97,10.3
3,3.2,3.2,3.2,98,10.3
3,3.1,3.1,3.1,98,10.4
3,3.1,3.1,3.1,99,10.2
3.1,3.2,3.2,3.2,99,10.9
3.2,3.3,3.3,3.3,99,11
3.4,3.5,3.5,3.5,99,10.5
3.4,3.6,3.6,3.6,99,10.2
3.3,3.4,3.4,3.4,99,10.3
3.2,3.4,3.4,3.4,99,10.3
3.2,3.3,3.3,3.3,100,10.3
2.8,3,3,3,21,10.9
2.7,2.9,3,3,35,11
2.8,3,3,3,46,10.9
2.9,3.1,3.1,3.1,56,10.8
3,3.2,3.2,3.2,64,10.7
3,3.2,3.2,3.2,70,11
2.9,3.1,3.2,3.2,76,10.7
2.8,3,3,3,80,10.8
2.6,2.8,2.8,2.8,85,10.8
2.6,2.8,2.8,2.8,88,10.5
2.7,2.9,2.9,2.9,90,10.8
2.8,2.9,3,3,92,10.5
2.7,2.9,2.9,2.9,94,10.8
2.8,3,3,3,95,10.8
2.8,3,3,3,96,10.5
2.8,2.9,3,3,97,10.8
2.8,3,3,3.1,98,10.9
2.9,3.1,3.2,3.2,99,11
3,3.2,3.2,3.2,100,10.9
3,3.2,3.2,3.2,100,10.7
3,3.2,3.2,3.3,101,10.8
2.9,3.1,3.1,3.1,101,10.5
2.8,2.9,3,3,101,10.6
2.8,3,3,3,101,10.9
2.8,3,3,3,101,10.8
2.7,2.9,2.9,2.9,101,10.8
2.6,2.8,2.8,2.8,101,10.7
2.6,2.8,2.8,2.8,101,10.8
2.8,2.9,2.9,3,101,10.5
2.8,3,3,3.1,101,10.6
2.9,3.1,3.1,3.1,101,10.8
2.9,3,3.1,3.1,101,10.8
2.9,3.1,3.1,3.1,101,10.8
2.9,3.1,3.1,3.2,101,10.6
2.9,3.1,3.1,3.1,101,11
2.9,3,3.1,3.1,101,10.7
2.8,3,3,3,101,10.8
2.7,2.9,2.9,2.9,101,10.8
2.7,2.9,2.9,2.9,101,10.9
2.7,2.9,2.9,2.9,101,10.4
2.7,2.8,2.8,2.8,101,10.5
2.8,3,3,3,100,10.8
2.9,3.1,3.1,3.1,100,10.9
3,3.1,3.2,3.2,101,10.8
3,3.1,3.1,3.1,101,10.8
3,3.2,3.2,3.2,101,10.8
3.1,3.3,3.3,3.3,101,10.9
3,3.2,3.2,3.2,101,10.8
2.9,3.1,3.1,3.1,100,10.8
3,3.2,3.2,3.2,100,10.8
2.9,3.1,3.1,3.1,100,10.9
2.9,3.1,3.1,3.1,101,10.8
2.9,3.1,3.1,3.1,101,10.8
2.8,3,3,3,101,10.9
2.8,3,3,3,100,10.9
2.6,2.8,2.8,2.8,100,10.7
2.6,2.8,2.8,2.8,101,10.9
2.6,2.7,2.8,2.8,101,10.9
2.6,2.8,2.8,2.8,101,10.9
2.7,2.8,2.8,2.9,101,11.2
2.7,2.9,2.9,2.9,101,10.8
2.7,2.9,2.9,2.9,101,10.7
2.7,2.9,2.9,2.9,101,10.8
2.7,2.8,2.8,2.8,101,10.8
2.6,2.7,2.7,2.7,101,10.8
2.5,2.6,2.6,2.6,101,10.9
2.4,2.6,2.6,2.6,101,10.6
2.4,2.5,2.5,2.5,101,10.9
2.3,2.4,2.4,2.4,101,10.9
2.3,2.4,2.4,2.4,101,10.8
2.3,2.4,2.4,2.4,101,10.9
2.4,2.5,2.5,2.5,101,10.8
2.4,2.6,2.6,2.6,101,11.1
2.4,2.6,2.6,2.6,101,10.9
2.5,2.6,2.6,2.6,101,10.9
2.5,2.6,2.6,2.6,101,10.8
2.6,2.7,2.7,2.7,101,10.7
2.7,2.8,2.8,2.8,100,10.7
2.7,2.8,2.8,2.8,100,10.6
2.7,2.8,2.8,2.8,100,10.9
2.8,2.9,2.9,2.9,100,10.8
2.8,2.9,2.9,2.9,100,10.8
2.8,2.9,2.9,2.9,100,10.8
2.7,2.9,2.9,2.9,100,10.6
2.6,2.8,2.8,2.8,100,10.9
2.5,2.6,2.6,2.6,100,10.9
2.3,2.5,2.5,2.5,101,10.8
2.3,2.4,2.4,2.4,101,10.8
2.3,2.4,2.4,2.4,101,11.1
2.5,2.6,2.6,2.6,101,10.9
2.5,2.6,2.6,2.6,101,10.8
2.4,2.5,2.5,2.5,101,10.9
2.3,2.5,2.5,2.5,101,10.7
2.3,2.4,2.4,2.4,101,10.8
2.3,2.4,2.4,2.4,101,10.8
2.3,2.4,2.4,2.4,100,11.1
2.3,2.5,2.5,2.5,100,11
2.3,2.4,2.4,2.4,100,11.1
2.2,2.4,2.4,2.4,100,11
2.1,2.2,2.2,2.2,100,10.9
2.1,2.2,2.2,2.2,100,11.1
2,2.1,2.1,2.1,100,11.1
2.1,2.2,2.2,2.2,101,11
2.1,2.2,2.2,2.2,101,11
2.2,2.3,2.3,2.3,101,11.1
2.2,2.3,2.3,2.3,101,11.1
2.3,2.4,2.4,2.4,101,10.9
2.5,2.6,2.6,2.6,101,11.1
2.6,2.7,2.7,2.7,101,11
2.7,2.8,2.8,2.8,101,11.1
2.7,2.8,2.8,2.8,100,10.9
2.7,2.8,2.8,2.8,101,11.2
2.7,2.8,2.8,2.8,101,11.2
2.6,2.7,2.7,2.7,100,11.7
2.5,2.6,2.6,2.6,100,11.4
2.4,2.5,2.5,2.5,101,12
2.7,2.9,2.9,2.9,103,11.7
2.9,3,3,3,104,12.7
2.8,3,3,3,104,12.2
2.7,2.9,2.9,2.9,103,12.8
2.7,2.9,2.9,2.9,103,12.1
2.8,3,3,3,103,13.1
2.9,3.1,3.1,3.1,102,12.2
2.9,3.1,3.1,3.1,103,12
2.9,3,3,3,102,11.4
2.8,2.9,2.9,2.9,102,12
2.8,2.9,2.9,2.9,101,11.5
2.8,2.9,2.9,2.9,101,11.5
2.8,2.9,2.9,2.9,101,11.4
2.7,2.8,2.8,2.8,101,11.5
2.6,2.8,2.8,2.8,101,11.4
2.5,2.7,2.7,2.7,101,12.6
2.4,2.5,2.5,2.5,101,11.9
2.4,2.5,2.5,2.5,101,11.8
2.5,2.6,2.6,2.6,101,11.7
2.5,2.7,2.7,2.7,102,11.5
2.6,2.7,2.7,2.7,101,11.6
2.6,2.7,2.7,2.7,101,11.9
2.5,2.7,2.7,2.7,102,11.5
2.5,2.6,2.6,2.6,102,11.9
2.5,2.7,2.7,2.7,102,11.6
2.6,2.8,2.8,2.8,101,11.6
2.7,2.9,2.9,2.9,101,11.7
2.8,2.9,2.9,2.9,101,11.6
2.9,3,3,3,101,11.8
2.9,3,3,3,101,11.9
2.8,3,3,3,101,11.9
2.7,2.9,2.9,2.9,101,12.2
2.7,2.9,2.9,2.9,101,11.8
2.6,2.7,2.7,2.7,101,11.8
2.6,2.7,2.7,2.7,101,11.7
2.5,2.6,2.6,2.6,101,11.7
2.4,2.5,2.5,2.5,101,11.7
2.4,2.5,2.6,2.6,101,11.7
2.5,2.7,2.7,2.7,101,11.7
2.6,2.8,2.8,2.8,101,11.7
2.7,2.9,2.9,2.9,101,11.9
2.6,2.8,2.8,2.8,101,12
2.5,2.6,2.6,2.6,101,12
2.4,2.5,2.5,2.5,101,12
2.4,2.5,2.5,2.5,101,11.9
2.3,2.4,2.4,2.4,101,12.1
2.3,2.4,2.4,2.4,101,12.1
2.4,2.5,2.5,2.5,101,11.9
2.4,2.5,2.5,2.5,101,12
2.4,2.5,2.5,2.5,102,12.1
2.4,2.5,2.5,2.5,102,12
2.3,2.4,2.4,2.4,102,12
2.2,2.3,2.3,2.3,102,12.3
2.1,2.2,2.2,2.2,103,12.2
2.1,2.2,2.2,2.2,103,12.2
2,2.1,2.1,2.1,103,12.2
2.1,2.2,2.2,2.2,103,12.1
2.3,2.5,2.5,2.5,103,12.2
2.4,2.6,2.6,2.6,102,12.2
2.5,2.6,2.6,2.6,102,12.2
2.5,2.6,2.6,2.6,102,12.3
2.4,2.5,2.5,2.5,102,12.2
2.3,2.4,2.4,2.4,102,12.2
2.3,2.4,2.4,2.4,101,12.3
2.3,2.4,2.4,2.4,101,12.3
2.4,2.5,2.5,2.5,100,12.2
2.5,2.7,2.7,2.7,100,12.2
2.6,2.7,2.7,2.7,100,12.3
2.5,2.7,2.7,2.7,100,12.3
2.4,2.6,2.6,2.6,100,12.1
2.3,2.4,2.4,2.4,100,12.2
2.3,2.4,2.4,2.4,100,12.2
2.3,2.4,2.4,2.4,100,12.1
2.4,2.5,2.5,2.5,100,12.1
2.5,2.7,2.7,2.7,100,12.1
2.6,2.7,2.7,2.7,100,12.3
2.7,2.8,2.8,2.8,100,12.2
2.6,2.7,2.7,2.7,100,12.3
2.6,2.7,2.7,2.7,100,12.2
2.6,2.7,2.7,2.7,100,12.4
2.6,2.7,2.8,2.8,100,12.3
2.6,2.8,2.8,2.8,100,12.4
2.6,2.8,2.8,2.8,100,12.4
2.5,2.7,2.7,2.7,101,12.4
2.5,2.6,2.6,2.6,101,12.5
2.5,2.6,2.6,2.6,101,12.6
2.4,2.5,2.5,2.5,101,12.4
2.2,2.3,2.3,2.3,101,12.5
2.2,2.3,2.3,2.3,101,12.3
2.3,2.4,2.4,2.4,101,12.3
2.6,2.7,2.7,2.7,101,12.7
2.7,2.8,2.8,2.8,103,12.9
2.7,2.9,2.9,2.9,104,12.6
2.8,2.9,2.9,2.9,104,12.6
2.8,2.9,2.9,2.9,103,12.5
2.8,2.9,2.9,2.9,103,12.5
2.8,2.9,2.9,2.9,104,13.9
2.7,2.9,2.9,2.9,107,13
2.7,2.8,2.8,2.8,108,13.2
2.6,2.8,2.8,2.8,106,12.7
2.6,2.7,2.7,2.7,105,12.7
2.5,2.6,2.6,2.6,104,13.1
2.5,2.7,2.7,2.7,103,13
2.5,2.6,2.6,2.6,102,13
2.5,2.6,2.6,2.6,102,12.9
2.5,2.6,2.6,2.6,101,12.7
2.5,2.6,2.6,2.6,101,13
2.6,2.7,2.7,2.7,100,12.7
2.6,2.7,2.7,2.7,100,12.5
2.5,2.6,2.6,2.6,100,12.7
2.4,2.5,2.5,2.5,100,12.5
2.3,2.4,2.4,2.4,100,13
2.3,2.4,2.4,2.4,100,13.1
2.2,2.3,2.3,2.3,100,13.2
2.1,2.2,2.2,2.2,100,12.9
2,2.1,2.1,2.1,100,12.7
2,2.1,2.1,2.1,100,12.7
2,2.1,2.1,2.1,100,13
2,2.1,2.1,2.1,100,12.7
2.1,2.2,2.2,2.2,100,12.6
2.2,2.3,2.3,2.3,100,12.9
2.3,2.4,2.4,2.4,100,13
2.3,2.4,2.4,2.4,100,12.7
2.2,2.3,2.3,2.3,100,12.9
2.2,2.3,2.3,2.3,100,13
2.3,2.4,2.4,2.4,100,13
2.4,2.5,2.5,2.5,100,12.8
2.5,2.6,2.6,2.6,101,13.3
