ms 1 um,ms 2.5 um,ms 4 um,ms 10 um,voc,methane
11.7,12.3,12.3,12.3,33,10.4
11.5,12.1,12.2,12.2,44,10.7
11.5,12.1,12.2,12.2,53,10.9
11.7,12.3,12.3,12.4,62,10.8
11.8,12.4,12.4,12.4,68,11.8
11.8,12.4,12.4,12.4,75,10.8
11.7,12.3,12.3,12.3,80,10.9
11.5,12.2,12.2,12.2,84,10.7
11.5,12.1,12.2,12.2,87,10.8
11.6,12.3,12.3,12.4,88,12.5
12,12.6,12.7,12.7,91,12.9
12.1,12.8,12.9,12.9,93,12
12.2,12.9,12.9,13,96,11.5
12.1,12.8,12.9,12.9,99,11.1
12.1,12.8,12.9,12.9,101,10.9
89.2,94.4,95.1,95.4,100,11.2
43.7,46.2,46.5,46.7,104,11.4
29.3,31,31.2,31.3,109,11.1
17.7,18.7,18.9,18.9,111,10.6
14.7,15.6,15.7,15.8,110,10.6
14.3,15.2,15.3,15.3,107,11
13.7,14.5,14.6,14.7,105,10.5
13.3,14.1,14.2,14.3,104,10.4
13,13.8,13.9,13.9,103,10.1
12.5,13.3,13.4,13.4,100,10
12.3,13,13.1,13.1,97,10.4
12.4,13.1,13.2,13.2,96,10.4
12.8,13.5,13.6,13.7,96,10.1
13.2,13.9,14,14.1,95,10
13.5,14.2,14.3,14.4,94,10.3
13.4,14.2,14.2,14.3,94,10.4
13.5,14.3,14.3,14.3,94,10.3
14.7,15.4,15.5,15.5,96,10.7
105.5,110.8,111,111.1,116,11
36.4,38.2,38.3,38.3,150,12.9
19.7,20.7,20.7,20.7,163,11.2
33.5,35.1,35.1,35.1,175,11.5
44.2,46.4,46.5,46.5,185,11.3
43.9,46.2,46.3,46.3,195,10
20.2,21.3,21.3,21.4,193,9.6
199.3,210.4,211.6,212.1,184,9.9
84.6,89.5,90.3,90.6,173,9.9
38.7,41.1,41.5,41.7,178,10.1
27.4,29.2,29.6,29.8,176,10.3
25.7,27.4,27.8,28,160,10.1
18.3,19.6,19.9,20,143,9.6
16.8,18,18.3,18.5,127,9.3
17.2,18.4,18.7,18.9,113,9.2
17.4,18.6,19,19.1,101,9.3
17.2,18.4,18.8,18.9,92,9.2
648.4,700.8,718.2,726.8,87,9.6
571.7,617.6,632.8,640.2,126,9.9
227.3,245.3,251.1,253.9,178,9.7
1229.7,1339,1380.3,1400.5,216,9.7
561,610.8,629.6,638.8,252,9.3
166.8,181.2,186.4,189,262,9.3
44.6,48.3,49.5,50.2,240,10.3
26.7,28.7,29.3,29.6,208,10
23.2,24.7,25,25.2,172,9.6
124.6,132.7,134.4,135.2,148,10.1
443.8,473.5,480.2,483.5,131,9.4
207.2,221.2,224.5,226.1,130,9.6
70.1,74.8,75.9,76.4,125,10.7
35.1,37.4,37.9,38.2,114,11.4
32.7,34.8,35.2,35.4,103,10.9
30.7,32.7,33.1,33.3,94,10.3
29.4,31.3,31.6,31.8,85,9.5
30.1,32,32.3,32.5,78,9.2
30.2,31.9,32.1,32.2,74,10
32.3,34.1,34.3,34.5,72,9.2
32.3,34.2,34.5,34.6,72,9.2
52.8,56.1,56.6,56.9,71,9.2
65.8,69.8,70.4,70.8,71,9.1
106.6,113,114,114.5,71,9.5
74.4,78.8,79.5,79.8,71,9
71.5,75.7,76.4,76.7,72,9.5
89.2,94.5,95.3,95.7,74,9.6
124.1,131.7,133.1,133.7,76,9.3
63.8,67.9,68.6,69,80,9.3
58.3,61.9,62.6,63,83,9.6
56.3,59.8,60.4,60.7,87,10.1
54.2,57.5,58,58.3,90,10.8
53.7,56.9,57.3,57.6,92,10.5
53.2,56.3,56.6,56.8,94,10.1
50.9,53.5,53.7,53.7,94,10.7
48.8,51.3,51.3,51.4,94,10.8
45.8,48,48.1,48.1,93,9.5
43.4,45.6,45.6,45.6,90,9.1
41.1,43.1,43.1,43.1,88,9.7
39.8,41.7,41.7,41.7,88,9.1
38.7,40.6,40.6,40.6,87,8.9
37.9,39.7,39.7,39.7,85,12.1
38,39.8,39.8,39.8,85,10.3
37.7,39.6,39.6,39.6,85,9.3
37.2,39,39.1,39.1,84,9
37,38.9,39,39,84,9.2
36.6,38.5,38.5,38.5,84,9.6
35.8,37.5,37.5,37.5,85,9.3
35.6,37.3,37.3,37.3,85,9.1
35.9,37.6,37.6,37.6,86,9.2
35.4,37.1,37.1,37.1,88,9.5
34.8,36.4,36.4,36.4,89,9.2
33.9,35.5,35.5,35.5,90,9.6
33.3,34.9,34.9,34.9,90,9.2
32.6,34.2,34.2,34.2,91,9.1
32.2,33.7,33.7,33.7,92,9.5
31.8,33.3,33.3,33.3,93,9.3
31.7,33.3,33.3,33.3,94,9.2
31.7,33.2,33.2,33.2,94,9.2
31.4,32.9,32.9,32.9,94,9.2
31.3,32.8,32.8,32.8,94,9.1
30.8,32.3,32.3,32.3,93,9
30.4,31.9,31.9,31.9,94,10.3
30.4,31.8,31.8,31.8,98,11.6
30.1,31.5,31.5,31.6,103,9.2
29.8,31.2,31.2,31.2,104,9
29.2,30.6,30.6,30.6,103,9
29.1,30.5,30.5,30.5,100,8.8
29.1,30.5,30.5,30.5,98,8.8
28.7,30.1,30.1,30.1,96,9
28.5,29.9,29.9,29.9,95,8.8
28.4,29.8,29.8,29.8,94,9.2
27.9,29.3,29.3,29.3,93,8.9
27.6,29,29,29,92,9
27.2,28.6,28.6,28.6,92,8.9
27.3,28.6,28.6,28.6,93,8.8
27.3,28.7,28.7,28.7,94,9
27.3,28.6,28.6,28.6,95,8.8
26.8,28.1,28.1,28.1,95,9.7
26.3,27.6,27.6,27.6,95,9.7
25.6,26.9,26.9,26.9,94,9
25.2,26.4,26.4,26.4,94,8.8
25.1,26.3,26.3,26.3,94,8.7
24.8,26,26,26,93,8.8
24.7,25.9,25.9,25.9,94,8.7
24.5,25.7,25.7,25.7,94,8.7
24.1,25.3,25.3,25.3,94,9.1
23.6,24.8,24.8,24.8,95,8.7
23.2,24.3,24.3,24.3,96,8.9
36,37.7,37.7,37.7,98,10.5
33.2,34.9,34.9,34.9,102,9.8
36.1,37.8,37.8,37.8,104,10.3
122.2,130.3,132,132.9,105,10.1
58.5,73,82.7,87.4,105,9.3
78.2,100.2,115.3,122.7,104,9.1
53.8,67.7,77.2,81.8,105,9.7
29.2,36,40.5,42.7,107,9.5
760.4,923.3,1028.3,1079.8,108,10
520.9,632.4,704.2,739.4,120,9.2
905.2,1091.5,1210.2,1268.4,138,9
1196.5,1439.8,1594.1,1669.9,165,10.1
1097.7,1316.1,1453.7,1521.2,201,11
703,834,914.7,954.3,232,10.4
1099.6,1291.1,1406.1,1462.5,247,10.6
722.1,841.5,911.7,946.1,256,10.8
360.6,416.3,448.1,463.7,255,11.3
523.4,598.5,639.8,660.1,240,10.8
136.5,154.4,163.8,168.4,220,10.1
135.7,152,160.2,164.2,195,10.2
168.3,186.5,194.8,198.9,166,10.6
67.9,74.7,77.6,79,146,9.6
52.1,57,58.9,59.8,129,9.3
116.3,126.4,130.2,132,115,9.5
247.6,269,276.8,280.6,106,9.3
217.4,236.1,242.9,246.2,104,9.4
153.2,165.9,170.2,172.4,103,9.2
92.7,100.2,102.6,103.7,103,9.2
105.8,114,116.6,117.9,102,9.2
103.7,111.5,113.8,115,102,9.2
101,108.4,110.5,111.6,101,9.3
99.8,107.1,109.1,110.1,100,9.6
113.7,122.1,124.5,125.7,99,9.3
125.4,134.6,137.2,138.4,98,9.3
128.2,137.6,140.3,141.7,97,9.6
125.9,135.3,138,139.3,97,9.6
124.8,134,136.5,137.7,97,9.6
124.9,133.7,135.9,137,97,9.3
126.4,135,137.1,138.1,96,9.4
127.3,135.8,137.8,138.7,96,9.3
125.9,134.2,136,136.9,97,9.3
124.4,132.5,134.1,134.9,97,9.3
122.8,130.7,132.3,133.1,97,9.4
114.8,122.1,123.6,124.3,97,9.1
100.7,107.2,108.6,109.2,97,9.2
95.5,101.7,102.9,103.6,96,9.2
91.8,97.7,98.9,99.6,96,9.2
89.9,95.6,96.8,97.3,96,9.3
88,93.6,94.7,95.2,96,9.2
86.1,91.6,92.7,93.2,96,9
84.2,89.6,90.8,91.3,96,8.9
82.2,87.5,88.6,89.2,95,9
80.4,85.6,86.7,87.2,95,8.9
78.6,83.5,84.4,84.8,95,9.6
78.1,82.8,83.6,83.9,95,9.1
76.6,81.2,81.9,82.2,95,9
74.4,78.8,79.4,79.7,95,9
72.3,76.5,77.1,77.4,95,9.2
70.8,75.1,75.7,76,95,9.2
69.1,73.2,73.8,74.1,95,9.6
66.6,70.5,71,71.2,95,9.9
64.6,68.2,68.7,68.9,95,9.6
61.7,65.2,65.6,65.7,96,9.9
59.7,63,63.4,63.6,98,10.1
58.4,61.8,62.2,62.4,99,10.2
56.8,60.2,60.6,60.9,100,10.1
54,57.2,57.6,57.8,101,10.1
51.6,54.6,55,55.2,102,10.2
50,52.9,53.3,53.5,102,10.4
48.6,51.4,51.7,51.9,102,10.4
46.9,49.6,49.9,50.1,103,10.1
45.6,48.3,48.6,48.8,103,10.6
44.2,46.8,47.1,47.3,103,10.4
42.5,45,45.4,45.6,103,10.5
41.1,43.6,44,44.2,103,11.3
40.7,43.2,43.6,43.8,103,10.9
40.1,42.5,42.9,43.1,103,10.8
39.6,42,42.3,42.5,103,10.7
38.8,41.1,41.5,41.7,103,10.7
37.7,39.9,40.2,40.4,103,10.6
36.8,39,39.3,39.5,103,10.8
36.1,38.2,38.5,38.7,103,10.8
35.5,37.5,37.8,37.9,103,10.5
34.5,36.5,36.8,36.9,102,10.7
33.1,35,35.3,35.4,103,12.3
32.5,34.4,34.6,34.8,105,11
32.6,34.4,34.6,34.7,106,10.9
32.1,33.9,34.1,34.2,106,10.9
31.5,33.3,33.4,33.5,105,10.8
30.6,32.3,32.4,32.5,104,10.9
29.5,31.1,31.3,31.3,104,10.9
29,30.6,30.7,30.8,103,11
28.6,30.1,30.2,30.3,103,11
28.5,30,30.1,30.2,103,10.8
28.8,30.3,30.4,30.5,102,10.9
29.6,31.3,31.4,31.5,102,10.8
244,258.6,260.8,261.9,102,10.6
425.1,497.4,540.4,561.6,102,10.8
191,250.7,292.7,313.4,104,11
69.8,95.3,113.8,122.9,109,10.8
33.7,45.7,54.4,58.6,112,10.8
26.4,35.3,41.6,44.7,112,10.7
20,26.2,30.6,32.7,111,10.4
29.1,37.4,43.1,45.9,109,10.7
30.5,38.1,43.1,45.6,107,12
31.1,37.9,42.3,44.5,107,10.9
31.6,37.7,41.6,43.4,106,10.9
31.1,36.5,39.7,41.3,106,10.8
30,34.6,37.2,38.5,105,10.8
28.7,32.7,34.8,35.8,105,10.9
27.5,30.8,32.5,33.3,104,10.8
26.4,29.3,30.7,31.4,104,10.7
25.9,28.6,29.7,30.2,104,10.6
25.3,27.6,28.6,29,104,10.8
24.6,26.7,27.5,27.9,104,10.8
24.4,26.4,27,27.4,104,10.7
24.3,26.2,26.8,27.1,103,10.9
24.4,26.2,26.8,27,103,11.2
24.6,26.5,27,27.3,103,11.1
25,26.9,27.4,27.6,103,10.8
24.7,26.5,26.9,27.2,103,10.7
24.4,26.1,26.6,26.8,103,11
689.9,749.4,771.1,781.7,103,10.8
254.4,282.6,295.8,302.3,103,10.5
72,80.7,84.9,87,103,10.7
54.9,61.6,65,66.6,103,10.7
65.6,74.7,79.7,82.2,103,10.8
72.7,85,92.2,95.8,103,10.8
59,71.3,79.1,82.9,102,10.8
40.9,49.8,55.6,58.5,102,10.8
72,87.7,97.8,102.8,102,10.8
58.9,71.4,79.4,83.3,102,10.7
50.5,60.7,67.1,70.2,102,10.9
43.9,52.2,57.3,59.8,102,10.8
38.1,44.8,48.9,50.9,102,10.6
34.4,40,43.3,45,102,10.6
33.1,38.2,41.1,42.5,102,10.6
32.4,37.1,39.7,41,101,10.6
31.9,36.2,38.6,39.7,101,10.6
32.4,36.6,38.8,39.9,101,11.5
33.6,37.7,39.7,40.7,101,10.8
34.9,39,41.1,42.1,101,10.8
35.8,40,42,43,101,10.8
36.5,40.7,42.8,43.8,101,11
36.7,40.9,42.9,43.9,101,11.2
36.1,40.1,42,42.9,102,11.5
35.3,39.1,40.9,41.7,102,11.5
35.2,38.9,40.5,41.3,102,11.3
35.1,38.6,40.1,40.8,103,11.3
34.4,37.6,39,39.6,104,11.6
33.5,36.5,37.7,38.3,104,11.5
32.5,35.3,36.4,36.9,105,11.5
31.6,34.2,35.2,35.7,105,11.5
30.5,33,33.8,34.2,105,11.5
29.3,31.6,32.4,32.8,105,11.3
28.5,30.8,31.5,31.9,105,11.3
27.9,30.1,30.8,31.2,105,11.3
27.9,30,30.7,31.1,104,11.3
28,30.1,30.8,31.1,104,11.2
27.8,29.9,30.5,30.8,104,11.1
26.9,28.9,29.4,29.7,104,11.1
26,27.8,28.3,28.5,104,11.2
25.5,27.3,27.7,27.9,103,13.2
24.8,26.5,26.9,27.1,103,11.4
24.3,25.9,26.2,26.4,103,11.2
23.9,25.5,25.8,26,103,10.9
23.9,25.5,25.9,26,103,11
24.1,25.7,26.1,26.2,103,10.9
24.5,26.1,26.5,26.6,103,11
24.6,26.2,26.6,26.7,103,10.9
24.6,26.2,26.5,26.7,103,11
23.9,25.4,25.7,25.9,103,10.9
23.1,24.6,24.9,25,102,10.4
22.3,23.7,23.9,24.1,102,10.4
21.5,22.9,23.1,23.2,102,10.4
20.9,22.1,22.4,22.5,102,10.3
20.6,21.9,22.1,22.2,102,10.2
20.4,21.6,21.8,21.9,102,10.1
20.1,21.4,21.6,21.7,102,10.1
19.8,21,21.2,21.3,102,10
19.4,20.6,20.9,21,101,10.1
19.3,20.5,20.7,20.8,101,10.1
19.4,20.6,20.8,20.9,101,10.1
19.2,20.3,20.5,20.6,101,10
19,20.1,20.2,20.3,101,10.1
18.9,20,20.2,20.3,101,10
19,20.1,20.2,20.3,100,9.9
18.9,20,20.1,20.2,100,9.7
18.8,19.8,20,20,100,10
18.4,19.5,19.6,19.6,100,9.7
